25/07/2024 10:51:23 - Iniciando processo de atualização.

25/07/2024 10:51:24 - Quantidade de cadastro(s): 335.

25/07/2024 10:51:25 - Conexão realizada com sucesso na base de dados: SBOPRODMR.
#25/07/2024 10:54:03 - #236º Parceiro de negocio: CL015071, atualizado com sucesso.
#25/07/2024 10:54:04 - #237º Parceiro de negocio: CL015784, atualizado com sucesso.
#25/07/2024 10:54:05 - #238º Parceiro de negocio: CL017436, atualizado com sucesso.
#25/07/2024 10:54:06 - #239º Parceiro de negocio: CL017570, atualizado com sucesso.
#25/07/2024 10:54:06 - #240º Parceiro de negocio: CL017573, atualizado com sucesso.
#25/07/2024 10:54:07 - #241º Parceiro de negocio: CL019594, atualizado com sucesso.
#25/07/2024 10:54:07 - #242º Parceiro de negocio: CL010443, atualizado com sucesso.
#25/07/2024 10:54:08 - #243º Parceiro de negocio: CL010492, atualizado com sucesso.
#25/07/2024 10:54:09 - #244º Parceiro de negocio: CL008351, atualizado com sucesso.
#25/07/2024 10:54:10 - #245º Parceiro de negocio: CL008369, atualizado com sucesso.
#25/07/2024 10:54:10 - #246º Parceiro de negocio: CL008382, atualizado com sucesso.
#25/07/2024 10:54:11 - #247º Parceiro de negocio: CL008389, atualizado com sucesso.
#25/07/2024 10:54:12 - #248º Parceiro de negocio: CL008391, atualizado com sucesso.
#25/07/2024 10:54:13 - #249º Parceiro de negocio: CL008406, atualizado com sucesso.
#25/07/2024 10:54:13 - #250º Parceiro de negocio: CL008413, atualizado com sucesso.
#25/07/2024 10:54:14 - #251º Parceiro de negocio: CL008418, atualizado com sucesso.
#25/07/2024 10:54:15 - #252º Parceiro de negocio: CL008434, atualizado com sucesso.
#25/07/2024 10:54:16 - #253º Parceiro de negocio: CL009557, atualizado com sucesso.
#25/07/2024 10:54:17 - #254º Parceiro de negocio: CL009559, atualizado com sucesso.
#25/07/2024 10:54:17 - #255º Parceiro de negocio: CL009807, atualizado com sucesso.
#25/07/2024 10:54:18 - #256º Parceiro de negocio: CL009809, atualizado com sucesso.
#25/07/2024 10:54:19 - #257º Parceiro de negocio: CL009971, atualizado com sucesso.
#25/07/2024 10:54:20 - #258º Parceiro de negocio: CL010488, atualizado com sucesso.
#25/07/2024 10:54:21 - #259º Parceiro de negocio: CL010634, atualizado com sucesso.
#25/07/2024 10:54:21 - #260º Parceiro de negocio: CL010689, atualizado com sucesso.
#25/07/2024 10:54:22 - #261º Parceiro de negocio: CL010729, atualizado com sucesso.
#25/07/2024 10:54:23 - #262º Parceiro de negocio: CL010831, atualizado com sucesso.
#25/07/2024 10:54:24 - #263º Parceiro de negocio: CL010833, atualizado com sucesso.
#25/07/2024 10:54:24 - #264º Parceiro de negocio: CL011191, atualizado com sucesso.
#25/07/2024 10:54:25 - #265º Parceiro de negocio: CL011955, atualizado com sucesso.
#25/07/2024 10:54:26 - #266º Parceiro de negocio: CL012323, atualizado com sucesso.
#25/07/2024 10:54:27 - #267º Parceiro de negocio: CL012569, atualizado com sucesso.
#25/07/2024 10:54:27 - #268º Parceiro de negocio: CL012651, atualizado com sucesso.
#25/07/2024 10:54:28 - #269º Parceiro de negocio: CL012837, atualizado com sucesso.
#25/07/2024 10:54:29 - #270º Parceiro de negocio: CL012839, atualizado com sucesso.
#25/07/2024 10:54:29 - #271º Parceiro de negocio: CL013068, atualizado com sucesso.
#25/07/2024 10:54:30 - #272º Parceiro de negocio: CL013110, atualizado com sucesso.
#25/07/2024 10:54:31 - #273º Parceiro de negocio: CL013524, atualizado com sucesso.
#25/07/2024 10:54:32 - #274º Parceiro de negocio: CL013576, atualizado com sucesso.
#25/07/2024 10:54:33 - #275º Parceiro de negocio: CL013601, atualizado com sucesso.
#25/07/2024 10:54:34 - #276º Parceiro de negocio: CL013717, atualizado com sucesso.
#25/07/2024 10:54:35 - #277º Parceiro de negocio: CL013718, atualizado com sucesso.
#25/07/2024 10:54:36 - #278º Parceiro de negocio: CL013758, atualizado com sucesso.
#25/07/2024 10:54:37 - #279º Parceiro de negocio: CL013867, atualizado com sucesso.
#25/07/2024 10:54:39 - #280º Parceiro de negocio: CL013868, atualizado com sucesso.
#25/07/2024 10:54:39 - #281º Parceiro de negocio: CL013881, atualizado com sucesso.
#25/07/2024 10:54:40 - #282º Parceiro de negocio: CL014060, atualizado com sucesso.
#25/07/2024 10:54:46 - #283º Parceiro de negocio: CL014130, atualizado com sucesso.
#25/07/2024 10:55:06 - #284º Parceiro de negocio: CL014202, atualizado com sucesso.
#25/07/2024 10:55:06 - #285º Parceiro de negocio: CL014204, atualizado com sucesso.
#25/07/2024 10:55:07 - #286º Parceiro de negocio: CL014205, atualizado com sucesso.
#25/07/2024 10:55:09 - #287º Parceiro de negocio: CL014353, atualizado com sucesso.
#25/07/2024 10:55:10 - #288º Parceiro de negocio: CL014358, atualizado com sucesso.
#25/07/2024 10:55:12 - #289º Parceiro de negocio: CL014421, atualizado com sucesso.
#25/07/2024 10:55:14 - #290º Parceiro de negocio: CL014854, atualizado com sucesso.
#25/07/2024 10:55:15 - #291º Parceiro de negocio: CL015070, atualizado com sucesso.
#25/07/2024 10:55:17 - #292º Parceiro de negocio: CL015246, atualizado com sucesso.
#25/07/2024 10:55:18 - #293º Parceiro de negocio: CL015506, atualizado com sucesso.
#25/07/2024 10:55:19 - #294º Parceiro de negocio: CL015507, atualizado com sucesso.
#25/07/2024 10:55:21 - #295º Parceiro de negocio: CL015678, atualizado com sucesso.
#25/07/2024 10:55:21 - #296º Parceiro de negocio: CL015741, atualizado com sucesso.
#25/07/2024 10:55:22 - #297º Parceiro de negocio: CL015972, atualizado com sucesso.
#25/07/2024 10:55:23 - #298º Parceiro de negocio: CL015974, atualizado com sucesso.
#25/07/2024 10:55:24 - #299º Parceiro de negocio: CL015976, atualizado com sucesso.
#25/07/2024 10:55:24 - #300º Parceiro de negocio: CL016211, atualizado com sucesso.
#25/07/2024 10:55:25 - #301º Parceiro de negocio: CL016212, atualizado com sucesso.
#25/07/2024 10:55:26 - #302º Parceiro de negocio: CL016213, atualizado com sucesso.
#25/07/2024 10:55:26 - #303º Parceiro de negocio: CL016214, atualizado com sucesso.
#25/07/2024 10:55:27 - #304º Parceiro de negocio: CL016215, atualizado com sucesso.
#25/07/2024 10:55:28 - #305º Parceiro de negocio: CL016378, atualizado com sucesso.
#25/07/2024 10:55:28 - #306º Parceiro de negocio: CL016823, atualizado com sucesso.
#25/07/2024 10:55:29 - #307º Parceiro de negocio: CL016828, atualizado com sucesso.
#25/07/2024 10:55:30 - #308º Parceiro de negocio: CL016983, atualizado com sucesso.
#25/07/2024 10:55:30 - #309º Parceiro de negocio: CL016993, atualizado com sucesso.
#25/07/2024 10:55:31 - #310º Parceiro de negocio: CL016994, atualizado com sucesso.
#25/07/2024 10:55:32 - #311º Parceiro de negocio: CL017032, atualizado com sucesso.
#25/07/2024 10:55:33 - #312º Parceiro de negocio: CL017034, atualizado com sucesso.
#25/07/2024 10:55:34 - #313º Parceiro de negocio: CL017037, atualizado com sucesso.
#25/07/2024 10:55:34 - #314º Parceiro de negocio: CL017173, atualizado com sucesso.
#25/07/2024 10:55:35 - #315º Parceiro de negocio: CL017758, atualizado com sucesso.
#25/07/2024 10:55:35 - #316º Parceiro de negocio: CL017837, atualizado com sucesso.
#25/07/2024 10:55:36 - #317º Parceiro de negocio: CL017981, atualizado com sucesso.
#25/07/2024 10:55:37 - #318º Parceiro de negocio: CL018067, atualizado com sucesso.
#25/07/2024 10:55:38 - #319º Parceiro de negocio: CL018068, atualizado com sucesso.
#25/07/2024 10:55:38 - #320º Parceiro de negocio: CL018339, atualizado com sucesso.
#25/07/2024 10:55:39 - #321º Parceiro de negocio: CL018375, atualizado com sucesso.
#25/07/2024 10:55:39 - #322º Parceiro de negocio: CL018574, atualizado com sucesso.
#25/07/2024 10:55:40 - #323º Parceiro de negocio: CL018833, atualizado com sucesso.
#25/07/2024 10:55:41 - #324º Parceiro de negocio: CL018841, atualizado com sucesso.
#25/07/2024 10:55:41 - #325º Parceiro de negocio: CL019199, atualizado com sucesso.
#25/07/2024 10:55:42 - #326º Parceiro de negocio: CL019203, atualizado com sucesso.
#25/07/2024 10:55:43 - #327º Parceiro de negocio: CL019270, atualizado com sucesso.
#25/07/2024 10:55:43 - #328º Parceiro de negocio: CL019322, atualizado com sucesso.
#25/07/2024 10:55:44 - #329º Parceiro de negocio: CL019324, atualizado com sucesso.
#25/07/2024 10:55:44 - #330º Parceiro de negocio: CL019414, atualizado com sucesso.
#25/07/2024 10:55:45 - #331º Parceiro de negocio: CL019651, atualizado com sucesso.
#25/07/2024 10:55:46 - #332º Parceiro de negocio: CL019741, atualizado com sucesso.
25/07/2024 10:55:46 - Erro: #333º - Entity with value('CL020920') does not exist
25/07/2024 10:55:46 - Erro: #333º - Entity with value('CL020920') does not exist
#25/07/2024 10:55:46 - #334º Parceiro de negocio: CL015965, atualizado com sucesso.
25/07/2024 10:55:46 - Processo Finalizado.
